product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route,strength,strength_unit,description
0264-3123,CEFOXITIN SODIUM,Cefoxitin and Dextrose,B. Braun Medical Inc.,"INJECTION, SOLUTION",INTRAVENOUS,1,g,
0264-5535,METRONIDAZOLE,METRONIDAZOLE,B. Braun Medical Inc.,SOLUTION,INTRAVENOUS,500,mg,
0264-7635,"DEXTROSE, SODIUM CHLORIDE, and POTASSIUM CHLORIDE",Potassium Chloride in Dextrose and Sodium Chloride,B. Braun Medical Inc.,INJECTION,INTRAVENOUS,5,g,
62135-445,Pregabalin,Pregabalin,"Chartwell RX, LLC",CAPSULE,ORAL,75,mg,
62332-075,memantine hydrochloride,Memantine Hydrochloride,Alembic Pharmaceuticals Inc.,"TABLET, COATED",ORAL,5,mg,
62135-741,Nystatin,Nystatin,"Chartwell RX, LLC","TABLET, FILM COATED",ORAL,500000,[USP'U],
62185-0051,"Acetylcholine Chloride, Taurine, Adenosinum Cyclophosphoricum, Cerebrum (Suis), Diencephalon (Suis), Pineal Gland (Suis), Thalamus Opticus (Suis), Adrenalinum, Dopamine Hydrochloride, GABA (Gamma-Aminobutyric Acid), Norepinephrine (Bitartrate), Serotonin (Hydrochloride), Tyramine",Brain Support,Dr. Donna Restivo DC,LIQUID,ORAL,8,[hp_X],
62332-502,olopatadine hydrochloride,OLOPATADINE HYDROCHLORIDE,Alembic Pharmaceuticals Inc.,SOLUTION/ DROPS,OPHTHALMIC,2,mg,
62484-0015,Hydroxyurea,XROMI,"Nova Laboratories, Ltd.",SOLUTION,ORAL,100,mg,
62670-6637,Alcohol,Anti Bacterial Hand Gel Flower Child,"Bath & Body Works, Inc.",GEL,TOPICAL,71,mL,
62670-6909,Alcohol,Anti Bacterial Moisturizing Hand Sanitizer Gingerbread Bakery,"Bath & Body Works, Inc.",GEL,TOPICAL,70,mL,
62742-4276,Salicylic Acid,Universal Clarifying Pad,Allure Labs,LIQUID,TOPICAL,20,mg,
63010-027,nelfinavir mesylate,VIRACEPT,AGOURON,"TABLET, FILM COATED",ORAL,625,mg,
63083-2101,Esophagus Formula,Esophagus Formula 2101,Professional Complementary Health Formulas,LIQUID,ORAL,1,[hp_X],
63083-7112,Carbo vegetabilis,Carbo vegetabilis 7112,Professional Complementary Health Formulas,LIQUID,ORAL,6,[hp_X],
63102-109,"Dexbrompheniramine Maleate, Pseudoephedrine Hydrochloride",ACTICON PEDIATRIC,"ACTIPHARMA, LLC",SOLUTION,ORAL,1,mg,
0280-1012,docusate sodium,Phillips Stool Softener Bulk Docusate,Bayer HealthCare LLC.,"CAPSULE, LIQUID FILLED",ORAL,100,mg,
63629-8481,"Desonide Ointment, 0.05%","Desonide Ointment, 0.05%",Bryant Ranch Prepack,OINTMENT,TOPICAL,.5,mg,
63629-8835,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,Bryant Ranch Prepack,TABLET,ORAL,40,mg,
63645-180,"Avobenzone, Octisalate, Homosalate, Petrolatum",ChapIce SPF 30 Lip Balm,OraLabs,STICK,TOPICAL,30,mg,
63187-360,Levetiracetam,Levetiracetam,Proficient Rx LP,"TABLET, FILM COATED",ORAL,500,mg,
63187-749,Oxybutynin Chloride,Oxybutynin Chloride,Proficient Rx LP,TABLET,ORAL,5,mg,
63304-191,Desvenlafaxine,Desvenlafaxine,"Sun Pharmaceutical Industries, Inc.","TABLET, EXTENDED RELEASE",ORAL,50,mg,
63323-349,Imipenem and Cilastatin Sodium,Imipenem and Cilastatin,"Fresenius Kabi USA, LLC","INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,250,mg,
63323-714,"Dextrose, Soybean oil, Electrolytes, Lysine, Phenylalanine, Leucine, Valine, Threonine, Methionine, Isoleucine, Tryptophan, Alanine, Arginine, Glycine, Proline, Histidine, Glutamic Acid, Serine, Aspartic Acid and Tyrosine",Perikabiven,"Fresenius Kabi USA, LLC","INJECTION, EMULSION",INTRAVENOUS,333,mg,
63402-302,lurasidone hydrochloride,Latuda,"Sumitomo Pharma America, Inc.","TABLET, FILM COATED",ORAL,20,mg,
63545-067,Aethusa cynapium,Aethusa cynapium,"Hahnemann Laboratories, Inc.",PELLET,ORAL,6,[hp_C],
63545-292,Aurum Bromatum,Aurum Bromatum,"Hahnemann Laboratories, Inc.",PELLET,ORAL,6,[hp_C],
63545-538,Bovista,Bovista,"Hahnemann Laboratories, INC.",PELLET,ORAL,500,[hp_C],
63545-747,Adamas,Adamas,"Hahnemann Laboratories, Inc.",PELLET,ORAL,12,[hp_C],
0280-0065,Azelastine HCl,Astepro Allergy,Bayer HealthCare LLC.,"SPRAY, METERED",NASAL,205.5,ug,
0280-0112,NAPROXEN SODIUM,Aleve Headache Pain,Bayer HealthCare LLC.,TABLET,ORAL,220,mg,
65219-328,SODIUM CHLORIDE,Sodium Chloride,"Fresenius Kabi USA, LLC","INJECTION, SOLUTION",INTRAVENOUS,9,mg,
65628-204,vancomycin hydrochloride,FIRVANQ,"Azurity Pharmaceuticals, Inc",KIT,,,,
65841-806,telmisartan,telmisartan,Zydus Lifesciences Limited,TABLET,ORAL,80,mg,
65862-290,Ribavirin,Ribavirin,Aurobindo Pharma Limited,CAPSULE,ORAL,200,mg,
63824-959,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride, and Triprolidine Hydrochloride",Mucinex Childrens FreeFrom Multi-Symptom Cold and Flu Nighttime,Reckitt Benckiser LLC,SOLUTION,ORAL,325,mg,
63868-822,Olopatadine Hydrochloride Ophthalmic,Olopatadine Hydrochloride Ophthalmic Solution,Chain Drug Marketing Association INC,SOLUTION/ DROPS,OPHTHALMIC,1,mg,
63941-710,Diphenhydramine HCl,Best Choice Childrens Allergy Relief Bubblegum flavor,BEST CHOICE (VALU MERCHANDISERS COMPANY),LIQUID,ORAL,12.5,mg,
64380-162,oxybutynin chloride,Oxybutynin Chloride,Strides Pharma Science Limited,TABLET,ORAL,5,mg,
64942-1914,Advanced Care Go Fresh Acai Berry and Lotus Flower 48h Antiperspirant Deodorant,Dove,Conopco Inc. d/b/a/ Unilever,STICK,TOPICAL,15.2,g,
