product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route
63479-0109,"ARGENTUM NITRICUM, ATROPINUM SULPHURICUM, AURUM MURIATICUM NATRONATUM, BOS TAURUS OVARY, BOS TAURUS PANCREAS, BOS TAURUS PITUITARUM POSTERIUM, BOS TAURUS UTERUS, CIMICIFUGA RACEMOSA, ESTRONE, HELONIAS DIOICA, PROGESTERONE, PULSATILLA VULGARIS, SABINA, SEPIA, SEQUOIADENDRON GIGANTEUM WHOLE, SUS SCROFA PINEAL GLAND, SUS SCROFA SPLEEN, THIOSINAMINUM, THYROIDINUM, VIBURNUM OPULUS",A09 FEMALE BALANCE,Apex Energetics Inc.,SOLUTION/ DROPS,SUBLINGUAL
63545-103,Argentum Iodatum,Argentum Iodatum,"Hahnemann Laboratories, Inc.",PELLET,ORAL
63323-413,Neostigmine Methylsulfate,Neostigmine Methylsulfate,"Fresenius Kabi USA, LLC","INJECTION, SOLUTION",INTRAVENOUS
63545-328,Bromoethanum,Bromoethanum,"Hahnemann Laboratories, INC.",PELLET,ORAL
63545-577,Cadmium Fluoratum,Cadmium Fluoratum,"Hahnemann Laboratories, INC.",PELLET,ORAL
63545-770,Agaricus muscarius,Agaricus muscarius,"Hahnemann Laboratories, Inc.",PELLET,ORAL
63629-1227,Baclofen,Baclofen,Bryant Ranch Prepack,TABLET,ORAL
63629-2299,Hydrocodone Bitartrate and Acetaminophen,Hydrocodone Bitartrate and Acetaminophen,Bryant Ranch Prepack,TABLET,ORAL
65162-808,Progesterone,Progesterone,Amneal Pharmaceuticals LLC,CAPSULE,ORAL
65219-475,"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, CALCIUM CHLORIDE",LACTATED RINGERS,"Fresenius Kabi USA, LLC","INJECTION, SOLUTION",INTRAVENOUS
65692-0529,Lemonade SPF 15 Broad Spectrum Lip Balm,Lemonade SPF 15 Broad Spectrum Lip Balm,"Raining Rose, Inc",STICK,TOPICAL
65852-012,"Dextromethorphan hydrobromide, Guaifenesin, Phenylephrine hydrochloride",Giltuss Cough and Cold,Dextrum Laboratories Inc.,SOLUTION,ORAL
65862-449,Valacyclovir Hydrochloride,Valacyclovir Hydrochloride,Aurobindo Pharma Limited,"TABLET, FILM COATED",ORAL
0037-6860,olsalazine sodium,Dipentum,Viatris Specialty LLC,"CAPSULE, GELATIN COATED",ORAL
0299-4121,Salicylic Acid,Cetaphil Acne Relief Body Wash,"Galderma Laboratories, L.P.",GEL,TOPICAL
63941-939,Cetirizine Hydrochloride,Cetirizine Hydrochloride,Valu Merchandisers Company,TABLET,ORAL
64380-208,doxycycline,Doxycycline,Strides Pharma Science Limited,TABLET,ORAL
64942-1955,Advanced Vanilla and Jasmine 72H Antiperspirant Deodorant,Degree,Conopco Inc. d/b/a/ Unilever,STICK,TOPICAL
64616-055,Olive Leaf Vaginal Spray,Olive Vaginal Formula,"Vitality Works, Inc",SPRAY,VAGINAL
64942-1303,Aluminum Zirconium Tetrachlorohydrex GLY,Degree Clinical Sheer Powder Antiperspirant and Deodorant,Conopco Inc. d/b/a Unilever,STICK,TOPICAL
64942-2247,Advanced Care Invisible Sheer Fresh Antiperspirant Deodorant,Dove,Conopco Inc. d/b/a/ Unilever,STICK,TOPICAL
64950-218,Flurbiprofen,Flurbiprofen,Genus Lifesciences,TABLET,ORAL
65044-0787,"Standardized Grass Pollen, Ryegrass","Standardized Grass Pollen, Ryegrass",Jubilant HollisterStier LLC,"INJECTION, SOLUTION","PERCUTANEOUS, SUBCUTANEOUS"
65044-3554,Rye Grain,"Food - Plant Source, Rye Grain",Jubilant HollisterStier LLC,"INJECTION, SOLUTION","PERCUTANEOUS, SUBCUTANEOUS"
65145-177,Milrinone Lactate in 5% Dextrose,Milrinone Lactate in 5% Dextrose,Caplin Steriles Limited,"INJECTION, SOLUTION",INTRAVENOUS
67877-245,Quetiapine,Quetiapine,"Ascend Laboratories, LLC","TABLET, FILM COATED",ORAL
67877-712,Enalapril Maleate Oral Solution,Enalapril Maleate Oral Solution,"Ascend Laboratories, LLC",SOLUTION,ORAL
68001-440,Fexofenadine hydrochloride,Fexofenadine hydrochloride,BluePoint Laboratories,TABLET,ORAL
68016-054,"Phenylephrine, Witch Hazel",Hemorroidal Cooling gel,"Pharmacy Value Alliance, LLC",GEL,TOPICAL
66715-6338,"acetaminophen, aspirin, caffeine tablet","Extra Strength Headache, Caseys 4good","Lil' Drug Store Products, Inc.",TABLET,ORAL
65862-819,Tenofovir Disoproxil Fumarate,Tenofovir Disoproxil Fumarate,Aurobindo Pharma Limited,"TABLET, FILM COATED",ORAL
66096-341,"Aesculus Hippocastanum, Arnica Montana, Calendula Officinalis, Echinacea Purpurea, Hamamelis Virginiana, Paeonia Officinalis, Ratanhia.",OHM Venous Aid,OHM PHARMA INC.,CREAM,TOPICAL
66302-014,DINUTUXIMAB,Unituxin,United Therapeutics Corporation,INJECTION,INTRAVENOUS
66758-237,dexmethylphenidate hydrochloride,Focalin XR,Sandoz Inc,"CAPSULE, EXTENDED RELEASE",ORAL
66949-113,Benzalkonium Chloride,Zep Mild Antibacterial,Zep Inc.,LIQUID,TOPICAL
0053-0140,etranacogene dezaparvovec,HEMGENIX,CSL Behring,KIT,
0363-0119,Simethicone Antigas,Extra Strength Gas Relief,WALGREENS CO.,"TABLET, CHEWABLE",ORAL
67091-379,Simethicone,WinCo Foods Gas Relief Extra Strength Softgels,"WinCo Foods, LLC","CAPSULE, LIQUID FILLED",ORAL
0363-0242,Benzalkonium Chloride,Walgreen,Walgreen,SOAP,TOPICAL
0363-0298,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Walgreens SPF 30 Premium Moisturizing Continuous Sunscreen,WALGREEN COMPANY,SPRAY,TOPICAL
67544-671,Baclofen,Baclofen,"Aphena Pharma Solutions - Tennessee, LLC",TABLET,ORAL
68462-486,clindamycin and benzoyl peroxide,clindamycin and benzoyl peroxide,"Glenmark Pharmaceuticals Inc., USA",GEL,TOPICAL
68479-942,Salicylic Acid,Clearing Skin Wash,"Dermalogica, LLC.",LIQUID,TOPICAL
68599-4744,bismuth subsalicylate,McKesson Bismuth,McKesson Medical-Surgical,"TABLET, CHEWABLE",ORAL
0363-4030,Meclizine HCl,Motion Sickness Relief,Walgreen Company,TABLET,ORAL
68071-3815,Chorionic Gonadotropin,Chorionic Gonadotropin,"NuCare Pharmaceuticals,Inc.",KIT,
68071-1671,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,"NuCare Pharmaceuticals,Inc.","TABLET, EXTENDED RELEASE",ORAL
68071-2761,doxycycline,doxycycline,"NuCare Pharmaceuticals,Inc.",CAPSULE,ORAL
68071-3564,Doxycycline Hyclate,Doxycycline Hyclate,"NuCare Pharmaceuticals,Inc.",CAPSULE,ORAL
68071-4294,levonorgestrel,My Way,"NuCare Pharmaceuticals,Inc.",TABLET,ORAL
68071-5019,Amoxicillin,Amoxicillin,"NuCare Pharmaceuticals,Inc.",CAPSULE,ORAL
68083-178,paclitaxel,PACLITAXEL PACLITAXEL,Gland Pharma Limited,"INJECTION, SOLUTION",INTRAVENOUS
68084-157,Morphine Sulfate,Morphine Sulfate Extended Release,American Health Packaging,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL
68135-300,SAPROPTERIN DIHYDROCHLORIDE,Kuvan,BioMarin Pharmaceutical Inc.,TABLET,ORAL
68180-558,Quinapril,Quinapril,"Lupin Pharmaceuticals, Inc.",TABLET,ORAL
68210-4096,NAPROXEN SODIUM,NAPROXEN SODIUM,"SPIRIT PHARMACEUTICALS,LLC","TABLET, FILM COATED, EXTENDED RELEASE",ORAL
